site,town,lat,long,altitude,inside,shrub_height,species,acronym,shrub_tree,cover,presence,damage,palatability,resprouter,Herrera_type,Coca
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Myrtus communis,Myrtcomm,tree,0,0,NA,2,NA,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cistus albidus,Cistalbi,shrub,0,0,NA,5,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Quercus pyrenaica,Querpyre,shrub,0,0,NA,3,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Ilex aquifolium,Ilexaqui,tree,0,0,NA,1,NA,2,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cistus crispus,Cistcris,tree,0,0,NA,5,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Ceratonia siliqua,Cerasili,tree,0,0,NA,2,NA,2,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Calluna vulgaris,Callvulg,tree,0,0,NA,3,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Pistacia lentiscus,Pistlent,tree,0,0,NA,5,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Pinus pinaster,Pinupina,tree,0,0,NA,5,NA,NA,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Arbutus unedo,Arbuuned,tree,2.200000000000001,1,NA,5,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Ulex borgiae,Ulexborg,shrub,3.000000000000001,1,0,3,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Olea europaea,Oleaeuro,tree,0,0,NA,1,NA,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Daphne gnidium,Daphgnid,tree,0,0,NA,6,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cistus salvifolius,Cistsalv,shrub,0,0,NA,4,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Lavandula stoechas,Lavastoe,shrub,0.2999999999999998,1,2,5,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cistus ladanifer,Cistlada,shrub,0,0,NA,NA,0,1,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Cistus crispus,Cistcris,shrub,0,0,NA,5,0,1,1
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Quercus suber,Quersube,tree,12.099999999999996,1,NA,3,1,2,2
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Calicotome villosa,Calivill,tree,0,0,NA,2,1,1,intermedio
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,bare,Bare,tree,14.4,1,NA,NA,NA,NA,NA
Barrancones,Alcala,36.46297,-5.60348,422,0,1.5,Erica australis,Ericaust,shrub,0,0,NA,5,1,1,NA
