species,site,shrub_tree,in_out,cover,presence
Calicotome villosa,Cuevas_Hospital2,shrub,outside,6.5,1
Calicotome villosa,Cuevas_Hospital2,tree,outside,0,0
Calicotome villosa,Faldas_Rubio1,shrub,inside,0,0
Calicotome villosa,Faldas_Rubio1,tree,inside,0,0
Calicotome villosa,Faldas_Rubio1,shrub,outside,0,0
Calicotome villosa,Faldas_Rubio1,tree,outside,0,0
Calicotome villosa,Faldas_Rubio2,shrub,inside,5.099999999999998,1
Calicotome villosa,Faldas_Rubio2,tree,inside,0,0
Calicotome villosa,Faldas_Rubio2,shrub,outside,3.499999999999999,1
Calicotome villosa,Faldas_Rubio2,tree,outside,0,0
Calicotome villosa,Garganta_Honda,shrub,inside,0,0
Calicotome villosa,Garganta_Honda,tree,inside,0,0
Calicotome villosa,Garganta_Honda,shrub,outside,0,0
Calicotome villosa,Garganta_Honda,tree,outside,0,0
Calicotome villosa,Gavilanes,shrub,inside,0,0
Calicotome villosa,Gavilanes,tree,inside,0,0
Calicotome villosa,Gavilanes,shrub,outside,0,0
Calicotome villosa,Gavilanes,tree,outside,0,0
Calicotome villosa,Hernan_Martin,shrub,inside,0,0
Calicotome villosa,Hernan_Martin,tree,inside,0,0
Calicotome villosa,Hernan_Martin,shrub,outside,0,0
Calicotome villosa,Hernan_Martin,tree,outside,0,0
Calicotome villosa,Laguna_Picacho,shrub,inside,0,0
Calicotome villosa,Laguna_Picacho,tree,inside,0,0
Calicotome villosa,Laguna_Picacho,shrub,outside,0,0
Calicotome villosa,Laguna_Picacho,tree,outside,0,0
Calicotome villosa,Las_Naranjas,shrub,inside,1.1000000000000014,1
Calicotome villosa,Las_Naranjas,tree,inside,0,0
Calicotome villosa,Las_Naranjas,shrub,outside,4.4,1
Calicotome villosa,Las_Naranjas,tree,outside,0,0
Calicotome villosa,Laurel,shrub,inside,0,0
Calicotome villosa,Laurel,tree,inside,0,0
Calicotome villosa,Laurel,shrub,outside,0,0
Calicotome villosa,Laurel,tree,outside,0,0
Calicotome villosa,Mogea_Luenga2,shrub,inside,0.8000000000000007,1
Calicotome villosa,Mogea_Luenga2,tree,inside,0,0
Calicotome villosa,Mogea_Luenga2,shrub,outside,19.799999999999997,1
Calicotome villosa,Mogea_Luenga2,tree,outside,0,0
Calicotome villosa,Palancar,shrub,inside,0,0
Calicotome villosa,Palancar,tree,inside,0,0
Calicotome villosa,Palancar,shrub,outside,0,0
Calicotome villosa,Palancar,tree,outside,0,0
Calicotome villosa,Puertollano,shrub,inside,1.6000000000000005,1
Calicotome villosa,Puertollano,tree,inside,0,0
Calicotome villosa,Puertollano,shrub,outside,1.1999999999999993,1
Calicotome villosa,Puertollano,tree,outside,0,0
Calicotome villosa,Teja1,shrub,inside,8.499999999999996,1
Calicotome villosa,Teja1,tree,inside,0,0
Calicotome villosa,Teja1,shrub,outside,0,0
Calicotome villosa,Teja1,tree,outside,0,0
Calluna vulgaris,Aljibe,shrub,inside,0,0
Calluna vulgaris,Aljibe,tree,inside,0,0
Calluna vulgaris,Aljibe,shrub,outside,2.700000000000001,1
Calluna vulgaris,Aljibe,tree,outside,0,0
Calluna vulgaris,Barrancones,shrub,inside,0,0
Calluna vulgaris,Barrancones,tree,inside,0,0
Calluna vulgaris,Barrancones,shrub,outside,0.3999999999999986,1
Calluna vulgaris,Barrancones,tree,outside,0,0
Calluna vulgaris,Beatas1,shrub,inside,0,0
Calluna vulgaris,Beatas1,tree,inside,0,0
Calluna vulgaris,Beatas1,shrub,outside,0,0
Calluna vulgaris,Beatas1,tree,outside,0,0
Calluna vulgaris,Caheruelas4,shrub,inside,3.0999999999999996,1
Calluna vulgaris,Caheruelas4,tree,inside,0,0
Calluna vulgaris,Caheruelas4,shrub,outside,0.20000000000000107,1
Calluna vulgaris,Caheruelas4,tree,outside,0,0
Calluna vulgaris,Caheruelas5,shrub,inside,0,0
Calluna vulgaris,Caheruelas5,tree,inside,0,0
Calluna vulgaris,Caheruelas5,shrub,outside,0,0
Calluna vulgaris,Caheruelas5,tree,outside,0,0
Calluna vulgaris,Cucarretes1,shrub,inside,4.749999999999998,1
Calluna vulgaris,Cucarretes1,tree,inside,0,0
Calluna vulgaris,Cucarretes1,shrub,outside,0,0
Calluna vulgaris,Cucarretes1,tree,outside,0,0
Calluna vulgaris,Cucarretes2,shrub,inside,0,0
Calluna vulgaris,Cucarretes2,tree,inside,0,0
Calluna vulgaris,Cucarretes2,shrub,outside,0,0
Calluna vulgaris,Cucarretes2,tree,outside,0,0
Calluna vulgaris,Cuevas_Hospital2,shrub,inside,1.8000000000000007,1
Calluna vulgaris,Cuevas_Hospital2,tree,inside,0,0
Calluna vulgaris,Cuevas_Hospital2,shrub,outside,0,0
Calluna vulgaris,Cuevas_Hospital2,tree,outside,0,0
Calluna vulgaris,Faldas_Rubio1,shrub,inside,0.5,1
Calluna vulgaris,Faldas_Rubio1,tree,inside,0,0
Calluna vulgaris,Faldas_Rubio1,shrub,outside,1.6499999999999995,1
Calluna vulgaris,Faldas_Rubio1,tree,outside,0,0
Calluna vulgaris,Faldas_Rubio2,shrub,inside,0,0
Calluna vulgaris,Faldas_Rubio2,tree,inside,0,0
Calluna vulgaris,Faldas_Rubio2,shrub,outside,0,0
Calluna vulgaris,Faldas_Rubio2,tree,outside,0,0
Calluna vulgaris,Garganta_Honda,shrub,inside,4.7,1
Calluna vulgaris,Garganta_Honda,tree,inside,0,0
Calluna vulgaris,Garganta_Honda,shrub,outside,0.4999999999999982,1
Calluna vulgaris,Garganta_Honda,tree,outside,0,0
